country;p2010;p2011;p2012;p2013;p2014;p2015;p2016;p2017;population_avg
Andorra;84.449;83.747;82.427;80.774;79.213;78.011;77.297;77.001;80.365
Dominica;70.878;70.916;70.965;71.016;71.085;71.183;71.307;71.458;71.101
Bermuda;65.124;64.564;64.798;65.001;65.138;65.237;64.554;63.873;64.786
Greenland;56.905;56.890;56.810;56.483;56.295;56.114;56.186;56.172;56.482
Cayman Islands;56.672;57.878;58.958;59.932;60.848;61.724;62.569;63.382;60.245
Marshall Islands;56.366;56.531;56.717;56.938;57.179;57.439;57.735;58.058;57.120
American Samoa;56.079;55.759;55.667;55.713;55.791;55.812;55.741;55.620;55.773
Northern Mariana Islands;53.971;54.012;54.311;54.784;55.305;55.780;56.188;56.562;55.114
St. Kitts and Nevis;49.011;49.442;49.881;50.328;50.776;51.204;51.629;52.036;50.538
Faroe Islands;47.814;47.823;47.843;47.892;47.960;48.051;48.173;48.331;47.986
St. Martin (French part);37.582;37.446;37.009;36.453;36.015;35.858;36.065;36.560;36.624
Liechtenstein;35.994;36.293;36.615;36.934;37.223;37.470;37.658;37.800;36.998
Monaco;35.612;36.024;36.460;36.901;37.322;37.718;38.070;38.392;37.062
Sint Maarten (Dutch part);34.056;33.435;34.640;36.607;37.685;38.825;39.969;40.574;36.974
Gibraltar;33.585;33.612;33.646;33.692;33.725;33.736;33.737;33.728;33.683
Turks and Caicos Islands;32.660;33.377;34.066;34.731;35.369;35.981;36.559;37.115;34.982
San Marino;31.229;31.661;32.105;32.553;32.948;33.272;33.504;33.671;32.618
British Virgin Islands;27.794;28.319;28.650;28.847;28.989;29.152;29.355;29.577;28.835
Palau;17.955;17.745;17.640;17.606;17.626;17.665;17.725;17.808;17.721
Tuvalu;10.530;10.633;10.739;10.857;10.972;11.099;11.225;11.370;10.928
Nauru;10.005;10.057;10.279;10.821;11.853;12.475;13.049;12.876;11.427
