Country Name;Country Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Indonesia;IDN;23.500;24.000;34.200;42.500;64.800;74.100;91.600;105.500;115.300;120.400;124.800;142.600;145.300;143.400;183.000;185.800;181.500;190.600;206.100;193.200;205.400;215.700;236.900;227.200;230.500;262.200;311.200;194.700;196.700;135.000;159.027;164.651;152.278;155.609;318.488;320.724;357.414;357.789;345.240;330.112;520.932.081.983.182;599.692.276.092.406;641.182.300.723.356;576.000;675.005.895.378.656;682.389;823.735;892.801;959.307.381;808.265
Camboya;KHM;1.300;4.400;3.900;4.100;3.800;3.400;3.400;3.400;;;;;;;;;;;;;;;;;;;;;;;;;4.648;4.512;3.893;3.207;3.998;4.324;3.667;3.304;510.472.222.222.222;7.191;7.432;118.970.432.386.171;14.732;12.983;11.933;14.372;14.387;14.850
Lituania;LTU;;;;;;;;;;;;;;;;;;;;;;;4.700;4.800;6.500;6.600;6.600;8.100;9.700;11.100;10.197;10.418;9.613;9.839;11.224;11.930;11.059;10.823;12.238;11.633;497.263.491.038.269;7.122;11.874;9.900;12.622;12.199;9.719;12.151;2.375;2.519
México;MEX;56.500;49.600;64.800;91.200;101.600;112.100;115.300;111.900;115.200;129.300;177.100;151.800;144.800;202.300;200.700;204.600;187.100;189.000;141.400;152.200;177.300;189.300;228.400;246.600;272.100;225.100;222.700;264.100;292.100;328.300;290.412;292.208;278.456;287.017;330.441;331.225;317.856;309.633;266.244;222.356;445.796.033.023.162;386.063.994.109.534;415.279.822.989.187;435792.09;457.921.907;508.614;555.984;567.921;583.408;605.632
Costa Rica;CRI;14.400;14.400;11.600;12.100;12.300;11.800;12.000;10.100;9.300;9.400;13.800;12.700;12.600;11.700;12.400;8.500;8.400;9.200;10.800;11.400;12.500;13.300;15.100;16.900;18.300;26.900;20.800;24.300;36.900;32.000;24.297;32.270;32.605;31.219;33.517;36.045;36.170;37.284;36.786;33.285;416.005.549.745.151;43.354;40.081;42.831;50.239;41.544;46.405;48.971;40.014;44.878
Jordania;JOR;4.200;4.400;4.100;4.500;5.600;7.000;8.700;9.300;10.400;11.900;14.000;16.500;17.100;16.200;15.500;15.200;14.800;15.000;15.500;17.400;14.100;11.000;14.300;15.500;16.000;16.800;17.100;16.700;15.400;15.900;16.447;15.893;16.369;15.354;17.958;19.689;26.546;29.415;30.804;32.490;393.187.915.976.253;403.291.978.021.978;39.468;38.998;38.386;36.622;38.161;36.946;36.127;36.550
Congo, República del;COG;3.700;3.700;3.400;3.600;3.600;3.800;4.000;4.000;4.300;4.400;4.300;5.300;5.600;6.100;6.000;6.400;6.700;4.400;4.500;4.700;4.100;4.800;4.700;4.900;4.900;6.300;5.400;10.200;10.300;6.000;6.257;5.235;4.505;4.783;;;;;;;375.533.363.289.149;4.817;7.011;12.132;10.380;11.462;10.604;8.439;4.976;4990.79
Países menos desarrollados: clasificación de las Naciones Unidas;LDC;168.900;173.200;167.600;178.100;170.500;189.900;211.000;187.300;193.800;210.100;225.400;235.300;232.400;241.500;233.500;233.200;228.900;222.300;224.700;210.200;209.300;199.600;193.900;185.500;195.300;187.500;198.100;187.400;185.400;161.600;170.335;164.604;156.854;159.470;180.304;187.173;188.247;217.552;185.775;202.446;351.440.234.369.991;3.946.052.789.404;391.789.929.869.241;448.045.815.238.617;457.116.151.040.793;427.560;441.789;536.718;598.229.964.489.686;538.364.299
Libia;LBY;6.200;6.600;7.400;8.400;8.800;9.500;9.800;11.100;11.100;11.600;12.200;13.400;14.900;16.500;16.700;16.600;15.400;14.400;16.400;17.000;18.200;19.000;14.400;9.100;7.100;5.800;6.100;6.000;6.000;6.100;6.194;5.884;5.884;6.414;8.042;13.335;12.657;13.477;9.930;9.812;348.780.771.737.788;277.705.020.633.663;165.144.315.772.057;32.064;26.414;13.298;10.764;9.686;12.340;11.339
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342.057.075.456.399;357.761.386.138.614;39.630.036.477.332;8.580;9.144;;;;;
Malawi;MWI;3.800;4.400;4.400;4.300;4.300;5.000;3.900;4.900;4.700;4.200;3.300;3.500;4.500;3.700;6.000;5.700;4.400;3.000;1.600;3.500;3.600;4.000;3.800;3.300;3.400;3.500;3.500;3.600;3.600;4.400;4.806;4.708;4.620;4.940;5.290;5.446;5.528;5.888;4.416;4.376;334.039.012.345.679;3.172;320.116.692.164.608;1.644;1.644;1.687;1.818;2.327;2.327;1.354
mezcla de la AIF;IDB;82.100;73.100;63.500;85.600;73.100;107.500;118.700;120.700;131.100;140.300;159.200;153.000;140.200;147.500;186.300;198.600;195.700;199.800;212.400;216.600;210.600;203.900;204.900;174.600;223.700;192.200;188.500;276.000;274.600;261.900;259.610;253.222;195.329;187.227;194.329;206.217;224.301;230.626;220.463;218.602;307.973.333.632.891;332.475.373.030.012;33.215.324.708.561;338.572;313.928.452.949.339;346.813;346.480;341.414;368.667.211.146.022;382177.79
Bhután;BTN;;;;;;;;;;;;;;;;;;;600;600;600;600;600;600;600;900;900;1.000;1.000;1.100;1.138;1.297;1.948;1.890;2.306;2.467;2.566;2.720;2.772;2.706;305.339.992.695.398;414.603.177.501.826;3.553;5.820;8.772;4.640;6.065;4.215;5.187;5.067
Otros Estados pequeos;OSS;;;;;;;;;;;;;;;;;;;108.600;111.900;120.400;128.300;126.600;136.200;148.200;153.600;158.900;171.600;177.400;180.500.000.976.563;;;;;;;;;;;304.617.026.412.691;319.463.077.888.503;358.016.442.302.092;356.192;;427.339;472.428;;463.611.302.591.099;440.597
previa al dividendo demográfico;PRE;142.500;144.200;139.200;140.600;137.800;171.200;192.600;182.200;195.900;211.400;217.900;216.700;194.700;205.800;194.500;194.600;177.600;172.100;165.000;151.800;148.400;131.500;122.600;122.400;127.000;114.800;117.300;121.400;120.000;128.400;134.784;121.438;;;;;;;;;304.105.790.601.217;338.788.542.699.401;335.276.118.428.977;368.447.772;355.316.603.990.131;376.858;353.162;404599.38;474.721.211.146.022;451.470.089
Malasia;MYS;27.700;31.300;38.600;63.400;70.700;72.800;73.700;71.000;71.900;75.100;88.600;97.800;95.800;95.100;95.100;94.700;94.100;101.400;109.400;111.900;130.500;145.800;164.800;164.500;175.000;178.200;188.300;194.100;174.000;164.800;169.263;169.840;189.382;166.716;170.054;176.152;163.665;185.052;176.549;182.002;302.185.222.466.875;336.401;343.382;430.334.457.756.879;443318.55;463.740;447.001;473610.67;474.940;498.878
Mundo;WLD;9.448.300;9.504.500;;9.764.900;9.254.900;9.244.700;9.562.900;9.915.900;10.183.700;10.653.400;10.704.900;10.270.100;10.335.800;10.758.700;11.404.000;11.897.900;12.677.000;13.244.800;13.880.900;14.021.100;14.583.900;14.360.900;14.918.800;15.986.200;17.218.900;18.008.200;18.953.600;19.546.600;19.653.200;207.366.000.009.766;22.008.658;22.264.220;20.817.389;21.282.617;23.752.616;24.215.712;24.829.383;26.016.011;25.498.093;26.122.523;296.379.295.405.283;305.649.780.951.817;307.713.845.860.793;314.643.988.821.721;323.397.819.790.769;33.362.839;34.687.965;35.703.836.058;368.282.322.483.859;374.619.138.191.284
Somalia;SOM;1.900;2.500;2.600;2.700;2.800;2.800;2.800;2.700;2.800;2.800;3.000;2.600;2.200;2.300;2.600;2.400;2.700;2.800;2.500;1.600;1.600;900;;;;;;;;;;;;;;;;;;;271.690.992.767.916;2.815;2.791;3.540;3.444;;98;98;995;1.060
Países Bajos;NLD;84.200;84.800;85.900;87.500;88.700;85.100;85.300;89.100;93.300;93.100;93.800;91.700;97.000;96.000;94.600;98.700;102.600;118.100;121.700;122.200;115.000;130.500;173.200;189.800;176.800;203.100;206.000;185.700;188.200;224.400;229.386;222.539;250.114;248.246;254.647;241.084;250.811;259.827;262.848;291.713;268.542.005.768.021;293.885.839.797.724;307.221;312.910;304.795;309.089;334.240;342.097;330.963.296;361.156
Emiratos Árabes Unidos;ARE;;;;;4.700;5.400;6.200;6.300;7.200;8.300;9.500;10.000;8.700;9.500;10.100;10.500;12.200;12.800;15.100;16.000;18.800;19.400;26.300;30.100;34.000;34.200;38.000;39.000;41.100;44.400;48.330;50.783;54.952;71.224;87.217;;;;;170.588;240.855.107.016.004;269.521;311.758;327.076;352.224;437.638;463.947;459.137;455.956;425.667.272
América Latina y el Caribe;LCN;712.300;681.000;695.500;706.800;743.800;781.500;804.400;786.700;801.600;907.000;983.000;943.200;1.056.500;1.149.700;1.188.600;1.171.500;1.192.600;1.214.500;1.198.200;1.220.900;1.231.900;1.250.000;1.287.400;1.380.200;1.442.900;1.462.700;1.532.800;1.727.100;1.806.500;1.985.500;1.838.871;1.916.893;1.756.505;1.562.182;1.584.616;1.656.212;1.695.244;1.833.458;1.800.913;1.838.212;230.357.168.762.511;243.114.782.405.656;254.981.618.361.562;273.298.641.507.694;284.058.799.664.724;2.898.758;2.826.420;2.748.629;280.582.129.213.874;283.672.158.312.836
Islandia;ISL;10.700;11.300;12.500;13.800;13.800;14.600;13.200;14.200;14.500;14.800;15.000;15.000;16.400;15.800;16.200;18.000;16.700;18.600;18.400;17.600;18.300;17.700;16.900;17.300;18.700;19.200;21.600;21.100;21.700;14.700;12.589;11.728;9.989;9.750;10.832;11.803;12.785;14.064;12.431;12.924;216.683.164.735.801;24.488;26.469;26.643;28.979;35.558;41.022;50.389;546.533.025.910.987;35.823
Cuba;CUB;15.600;17.900;19.400;17.400;15.200;15.800;17.100;13.300;17.100;17.500;17.200;15.900;18.000;20.300;17.100;16.000;18.700;19.400;17.600;18.900;19.400;12.000;9.900;8.600;12.500;12.800;14.400;16.800;19.700;15.700;12.264;11.728;9.773;8.998;10.937;11.484;11.533;11.874;11.686;10.653;212.354.502.809.087;183.028.583.708.965;158.697.722.047.845;23.292;15.468;17.592;20.058;13.144;8.830;7.140
El Salvador;SLV;8.800;9.400;8.700;8.800;9.000;9.200;9.500;12.000;11.900;8.700;8.100;8.100;9.000;8.300;9.200;9.400;9.700;9.500;9.400;9.600;10.700;12.400;14.600;15.500;18.800;20.000;20.900;19.100;19.400;32.000;37.098;26.059;19.407;22.063;23.660;23.964;24.879;22.465;21.056;19.339;209.612.770.874.618;24.699;26.622;29.114;31.662;28.671;28.670;27.995;27.601;26.305
Ingreso alto;HIC;8.017.300;8.160.400;8.143.400;8.268.400;7.702.900;7.569.000;7.782.900;8.154.000;8.366.900;8.687.700;8.654.000;8.197.500;8.165.200;8.433.700;8.939.400;9.439.800;10.179.900;10.651.200;11.222.100;11.348.000;11.854.500;11.646.900;12.039.700;12.144.400;13.275.300;14.021.900;14.841.400;15.309.900;15.438.200;163.904.000.009.766;17.696.541;17.489.910;16.177.393;16.732.835;18.548.529;18.703.965;18.821.000;19.400.201;18.783.409;19.015.727;207.201.789.766.091;209.315.465.755.899;206.102.199.635.401;205.870.159.738.634;206.017.419.070.244;20.982.212;21.593.637;21802395.92;220.869.222.083.547;224.440.203.981.284
Miembros OCDE;OED;8.133.200;8.249.300;8.243.100;8.396.900;7.783.800;7.621.700;7.812.900;8.148.200;8.358.200;8.656.700;8.626.800;8.163.600;8.180.500;8.496.300;8.959.000;9.435.300;10.143.900;10.624.000;11.144.500;11.291.100;11.820.000;11.504.200;11.921.800;12.007.700;13.134.300;13.823.000;14.642.600;15.164.300;15.334.100;16.377.600;17.600.208;17.360.330;16.031.097;16.571.184;18.373.498;18.673.068;18.773.087;19.311.555;18.651.471;18.616.819;203.016.512.366.618;204.124.751.292.468;202.810.553.818.976;203.008.582.984.916;203.442.343.676.493;20.746.257;21.324.113;21537722.92;218.428.347.870.813;22.214.375.543
América Latina y el Caribe (excluido altos ingresos);LAC;652.100;620.200;639.600;659.700;692.100;716.800;736.900;719.400;739.900;828.600;900.200;863.800;946.100;1.042.400;1.075.300;1.034.300;1.044.300;1.068.300;1.047.300;1.069.600;1.082.300;1.092.600;1.118.600;1.191.200;1.234.700;1.233.100;1.304.300;1.501.000;1.563.900;1.741.300;1.595.381;1.670.230;1.535.101;1.337.310;1.389.699;1.449.389;1.485.029;1.605.768;1.559.862;1.594.887;202.624.593.722.999;212.644.314.627.181;224.104.907.060.322;234.660.341.507.694;244.743.227.187.237;2.520.562;2.447.141;2.404.814;244.661.932.586.535;2.477.877
Bangladesh;BGD;;;;13.500;13.000;14.200;13.400;13.000;13.700;14.800;13.500;13.400;13.700;14.300;11.800;13.600;15.000;15.400;13.100;14.600;13.000;13.800;14.600;15.600;13.000;12.600;13.100;12.800;11.900;5.900;6.313;6.486;6.464;7.165;7.403;7.399;7.971;11.139;11.308;16.399;192.998.261.758.691;26.535;269.962.544.120.399;59.064;65.364;55.864;59.728;70.503;53.061;58.497
Países de ingreso mediano bajo;LMC;489.100;412.000;428.300;463.700;417.000;480.200;506.200;498.600;520.700;545.400;556.500;569.600;555.600;595.000;629.100;670.000;679.200;698.000;721.300;711.700;672.900;662.900;723.900;657.000;719.600;758.200;763.300;837.400;845.600;795.300;818.427;829.965;810.439;853.138;943.053;989.832;1.139.421;1.278.282;1.311.963;1.379.448;186.744.858.671.664;203.329.421.188.614;205.217.620.626.044;211.209.362.223.862;2.268.107.847.732;2.421.709;2.665.885;2.800.434;308.229.853.863.571;3.115.616.122
